country_code,year,political_stability,gdp_per_capita
BRA,2017,-0.602133799999999,10080.5078722821
BRA,2018,-0.645190399999999,9300.66072904004
BRA,2019,-0.722116299999999,9029.83304401079
BRA,2020,-0.427421599999999,7074.19407495707
BRA,2021,-0.3922756,7972.53696080695
BRA,2022,-0.415796899999999,9281.33282136864
BRB,2015,1.1290517,20424.2087530019
BRB,2016,0.839715,20295.5672072046
BRB,2017,0.8399905,20284.5762052461
BRB,2018,0.8002803,21381.2426303209
BRB,2019,0.9758945,21912.1501242857
BRB,2020,1.0680614,19194.4919736739
BRB,2021,1.0845669,21079.6145271791
BRB,2022,1.2066625,24387.0387293761
BRN,2015,1.2031979,30625.1287744656
BRN,2016,1.0333017,26663.2972950602
BRN,2017,1.0788022,28024.3824580252
BRN,2018,1.1449838,30988.1190267227
BRN,2019,1.0980607,30426.5730656528
BRN,2020,1.1645233,26834.3592233943
BRN,2021,1.1632013,31006.9636289785
BRN,2022,1.175984,36632.9280952155
BTN,2015,0.9981818,2954.04081911097
BTN,2016,1.1113941,3152.30905106786
BTN,2017,1.1177867,3435.28804735662
BTN,2018,1.1151798,3400.20417245342
BTN,2019,1.1641113,3576.87987100503
BTN,2020,1.1154419,3191.66906999331
BTN,2021,0.9391838,3570.61257980872
BTN,2022,1.3224382,3711.32767981591
BWA,2015,1.1318799,6141.20394726616
BWA,2016,0.9837653,6749.05994339013
BWA,2017,1.0166207,7104.96401088027
BWA,2018,0.9948159,7407.95940141786
BWA,2019,1.1539103,7172.08956480028
BWA,2020,1.0835182,6323.2974967659
BWA,2021,1.0572186,7807.88794570471
BWA,2022,1.0798421,8328.7090572666
CAF,2015,-1.8904664,366.322853938121
CAF,2016,-1.698431,387.176203444318
CAF,2017,-1.82651039999999,432.324025684263
CAF,2018,-1.89363629999999,455.243962859534
CAF,2019,-1.85285369999999,449.228467602439
CAF,2020,-2.3306101,462.879071294011
CAF,2021,-2.1689304,492.263142830507
CAF,2022,-1.9022515,467.359825026238
CAN,2015,1.1827978,43594.1941045394
CAN,2016,1.1623092,42314.0615817218
CAN,2017,1.0192144,45129.628116623
CAN,2018,0.9371514,46539.1761570405
CAN,2019,0.9041813,46352.8693445211
CAN,2020,0.9455077,43537.839298904
CAN,2021,0.7604154,52886.6616372703
CAN,2022,0.5074459,56256.8007264015
CEB,2015,,12596.8862547468
CEB,2016,,12874.699956166
CEB,2017,,14339.8243059389
CEB,2018,,16227.2484719489
CEB,2019,,16534.9264870407
CEB,2020,,16581.3526115028
CEB,2021,,19223.9274030651
CEB,2022,,19530.1553232172
CHE,2015,1.2751929,83806.4476003837
